id,Instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600103,Arsip Nasional Republik Indonesia,2.28,2.18,3.04
i2023110600092,Kementerian Pariwisata dan Ekonomi Kreatif/Badan Pariwisata dan Ekonomi Kreatif,2.03,2.03,2.03
i2023110600104,Badan Informasi Geospasial,3.23,3.11,3.11
i2023110600098,Badan Kepegawaian Negara,2.72,2.84,2.84
i2023110600105,Badan Kependudukan dan Keluarga Berencana Nasional,2.82,2.64,2.83
i2023110600118,Badan Keamanan Laut,2.24,2.28,2.43
i2023110600106,Kementerian Investasi/Badan Koordinasi Penanaman Modal,2.18,2.33,3.38
i2023110600322,"Badan Meteorologi, Klimatologi dan Geofisika",2.88,3.01,3.01
i2023110600112,Badan Narkotika Nasional,1.97,2.28,2.9
i2023110600114,Badan Nasional Penanggulangan Bencana,2.61,2.61,3.24
i2023110600326,Badan Nasional Penanggulangan Terorisme,1.54,1.54,1.99
i2023110600119,Badan Nasional Pencarian Dan Pertolongan,2.23,2.48,2.97
i2023110600110,Badan Pengawas Obat dan Makanan,2.44,3.68,3.68
i2023110600109,Badan Pengawas Tenaga Nuklir,3.95,3.71,3.71
i2023110600108,Badan Pengawasan Keuangan dan Pembangunan,2.5,2.7,3.37
i2023110600107,Badan Pengkajian dan Penerapan Teknologi,3.31,3.83,3.83
i2023110600101,Badan Pusat Statistik,3.33,3.63,3.63
i2023110600100,Badan Tenaga Nuklir Nasional,3.25,2.9,2.9
i2023110600012,Badan Siber dan Sandi Negara,2.01,3.99,3.99
i2023110600015,Badan Standardisasi Nasional,2.27,3.25,3.25
i2023110600099,Lembaga Administrasi Negara,3.20,3.05,3.05
i2023110600320,Lembaga Ilmu Pengetahuan Indonesia,3.7,3.55,3.55
i2023110600120,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,3.14,3.55,2.95
i2023110600111,Lembaga Ketahanan Nasional RI,2.46,2.33,2.78
i2023110600013,Lembaga Penerbangan dan Antariksa Nasional,2.83,2.65,3.85
i2023110600321,Perpustakaan Nasional RI,3.19,3.06,3.06
