id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600313,"Kementerian Koordinator Bidang Politik, Hukum dan Keamanan",3.01,3.4,2.7,1.18,3.74
i2023110600078,Kementerian Koordinator Bidang Perekonomian,3.72,3.3,3.4,2.91,4.32
i2023110600001,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,3.13,3.1,2.3,2,4.01
i2023110600079,Kementerian Koordinator Bidang Kemaritiman,3.31,3.1,3.1,2.73,3.69
i2023110600002,Kementerian Koperasi dan Usaha Kecil dan Menengah,3.5,3.9,3.3,2.82,3.75
i2023110600080,Kementerian Badan Usaha Milik Negara,4.41,5,4.1,3.82,4.63
i2023110600003,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,3.41,3,2.4,2.73,4.32
i2023110600081,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,3.97,4.1,3.7,3.82,4.13
i2023110600314,Kementerian Pemuda dan Olahraga,3.35,5,2.7,2.27,3.62
i2023110600082,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi",3.87,3.7,3.8,3.09,4.25
i2023110600004,Kementerian Dalam Negeri,3.64,4.1,3.4,2.27,4.13
i2023110600005,Kementerian Luar Negeri,3.26,2,3.9,1.18,4.02
i2023110600315,Kementerian Pertahanan,3.43,3.1,3.4,3.18,3.63
i2023110600006,Kementerian Hukum dan Hak Asasi Manusia,4.21,3.8,3.9,2.82,5
i2023110600083,Kementerian Keuangan,4.66,4.9,4.7,4.18,4.74
i2023110600007,Kementerian Pertanian,3.86,3.4,3.7,2.36,4.62
i2023110600008,Kementerian Energi dan Sumber Daya Mineral,3.52,4.7,3.5,1.36,3.98
i2023110600009,Kementerian Perhubungan,3.71,4.2,3.7,2.55,3.99
i2023110600084,Kementerian Pendidikan dan Kebudayaan,3.9,3.3,3.9,2.55,4.57
i2023110600085,Kementerian Kesehatan,3.31,2.6,3.7,2.64,3.55
i2023110600086,Kementerian Agama,3.58,3.4,3.3,2.27,4.27
i2023110600010,Kementerian Ketenagakerjaan,3.27,2.3,3.2,1.55,4.2
i2023110600087,Kementerian Sosial,3.04,2.2,2.8,1.73,3.88
i2023110600088,Kementerian Lingkungan Hidup dan Kehutanan,3.62,3,3.2,2.45,4.45
i2023110600089,Kementerian Kelautan dan Perikanan,3.58,3,3.1,2.18,4.51
i2023110600090,Kementerian Komunikasi dan Informatika,4.52,5,4.2,3.27,5
i2023110600011,Kementerian Perdagangan,4.16,5,4.4,3.18,4.14
i2023110600316,Kementerian Perindustrian,2.89,3,1.9,1.36,3.95
i2023110600091,Kementerian Pekerjaan Umum & Perumahan Rakyat,3.81,4.5,3.5,1.27,4.7
i2023110600092,Kementerian Pariwisata dan Ekonomi Kreatif/Badan Pariwisata dan Ekonomi Kreatif,4.67,4.8,4.6,4.45,4.76
i2023110600093,Kementerian Sekretariat Negara,3.38,3.1,3.4,2.09,3.92
