id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600418,Pemerintah Kab. Bojonegoro,3.65,4,3.3,2.55,4.13
i2023110600244,Pemerintah Kab. Tuban,3.9,5,3,2.55,4.57
i2023110600058,Pemerintah Kab. Lamongan,3.96,4.9,2.9,2.64,4.75
i2023110600245,Pemerintah Kota Surabaya,4.49,5,4.2,3.09,5
i2023110600059,Pemerintah Kota Mojokerto,4.26,5,4,3.55,4.46
i2023110600246,Pemerintah Kota Malang,3.82,4.4,3.1,2.73,4.45
i2023110600419,Pemerintah Kota Pasuruan,3.62,4,2.9,2.7,4.38
i2023110600247,Pemerintah Kota Probolinggo,3.1,3.4,2.7,1,4
i2023110600060,Pemerintah Kota Blitar,3.68,4,3.3,2.91,4.08
i2023110600420,Pemerintah Kota Kediri,3.65,4.4,3.7,2.55,3.82
i2023110600248,Pemerintah Kota Madiun,4.45,4.8,4.3,3.91,4.63
i2023110600421,Pemerintah Kota Batu,3.35,3.1,3.1,2.27,3.95
i2023110600249,Pemerintah Provinsi Kalimantan Barat,3.58,3.2,3.2,1.55,4.63
i2023110600422,Pemerintah Kab. Sambas,2.65,3.2,1.7,1.27,3.51
i2023110600250,Pemerintah Kab. Sanggau,2.88,3.3,2.7,2.27,3.08
i2023110600423,Pemerintah Kab. Sintang,1.89,1.1,1.1,1,2.87
i2023110600061,Pemerintah Kab. Kapuas Hulu,2.78,3.6,1.7,1.27,3.69
i2023110600425,Pemerintah Kab. Ketapang,3,3.3,2.8,1.82,3.45
i2023110600426,Pemerintah Kab. Bengkayang,2.46,2.9,2.9,1.82,2.33
i2023110600062,Pemerintah Kab. Landak,2.21,1.8,1.5,1.09,3.13
i2023110600549,Pemerintah Kab. Melawi,2.26,2.3,1.2,1.27,3.2
i2023110600427,Pemerintah Kab. Sekadau,3.05,4,2.6,1,3.76
i2023110600428,Pemerintah Kab. Kubu Raya,3.07,3,3.2,2.27,3.31
i2023110600429,Pemerintah Kab. Kayong Utara,2.15,1.3,1.4,1.27,3.12
i2023110600251,Pemerintah Kota Pontianak,3.43,3.5,3.1,2.27,4.01
i2023110600252,Pemerintah Kota Singkawang,3.33,3.9,3.3,2.27,3.33
i2023110600430,Pemerintah Provinsi Kalimantan Tengah,2.75,2.3,2.3,2,3.4
i2023110600431,Pemerintah Kab. Barito Utara,2.21,2.5,1.2,1,3.12
i2023110600253,Pemerintah Kab. Barito Selatan,3.19,3.2,2.1,2.55,4.01
i2023110600432,Pemerintah Kab. Kotawaringin Timur,3.11,3,2.6,1.64,3.96
i2023110600254,Pemerintah Kab. Pulang Pisau,2.58,3.3,2.1,1.09,3.19
i2023110600551,Pemerintah Kab. Gunung Mas,2.31,1.5,1.2,1,3.63
i2023110600064,Pemerintah Kab. Lamandau,2.59,3.5,1.4,1,3.56
i2023110600433,Pemerintah Kab. Sukamara,2.48,1.9,1.7,1,3.62
i2023110600552,Pemerintah Kab. Murung Raya,2.44,2.8,1.4,1,3.43
i2023110600065,Pemerintah Kab. Katingan,3.02,3.3,2.7,1.82,3.55
i2023110600553,Pemerintah Kab. Seruyan,1.91,1.2,1,1,2.95
i2023110600434,Pemerintah Kab. Barito Timur,1.86,1.3,1,1,2.81
i2023110600255,Pemerintah Kota Palangka Raya,3.03,2.9,2.8,1.64,3.69
i2023110600256,Pemerintah Provinsi Kalimantan Selatan,2.69,2.6,1.6,1,3.93
i2023110600435,Pemerintah Kab. Banjar,2.87,3,2.2,1.36,3.75
i2023110600257,Pemerintah Kab. Tanah Laut,3.12,3.1,2.8,1.55,3.88
i2023110600258,Pemerintah Kab. Tapin,3.09,3.7,2.4,1.45,3.88
i2023110600554,Pemerintah Kab. Hulu Sungai Selatan,3.51,3.6,3.3,2,4.14
i2023110600436,Pemerintah Kab. Hulu Sungai Tengah,2.69,2.2,1.9,1,3.88
i2023110600437,Pemerintah Kab. Barito Kuala,2.59,2.6,1.7,1.09,3.63
i2023110600438,Pemerintah Kab. Tabalong,3.21,3.1,2.8,2.18,3.83
i2023110600259,Pemerintah Kab. Kotabaru,2.28,2.8,1.1,1,3.24
i2023110600555,Pemerintah Kab. Hulu Sungai Utara,2.18,1.7,1.6,1,3.05
i2023110600439,Pemerintah Kab. Tanah Bumbu,3.17,3.4,2.6,2.27,3.75
i2023110600260,Pemerintah Kab. Balangan,2.69,3,1.9,1.73,3.38
i2023110600261,Pemerintah Kota Banjarmasin,4,5,3.7,2.09,4.57
i2023110600440,Pemerintah Kota Banjarbaru,2.68,2.7,2.2,1.45,3.37
i2023110600066,Pemerintah Provinsi Kalimantan Timur,2.91,3,1.9,1.64,3.9
i2023110600441,Pemerintah Kab. Kutai Kartanegara,2.54,3.3,1.4,1,3.51
i2023110600442,Pemerintah Kab. Paser,2.9,3,2.6,2,3.37
i2023110600556,Pemerintah Kab. Berau,2.02,2.8,1.9,1,2.24
i2023110600444,Pemerintah Kab. Kutai Timur,3.2,3.1,2.3,2.55,3.96
i2023110600445,Pemerintah Kab. Penajam Paser Utara,2.85,3,1.9,1.64,3.77
i2023110600262,Pemerintah Kab. Mahakam Ulu,1.11,1,1,1,1.25
i2023110600263,Pemerintah Kota Samarinda,3.14,3.1,2.9,1.09,4.02
i2023110600264,Pemerintah Kota Balikpapan,3.75,4.6,3.7,2.27,4.07
i2023110600446,Pemerintah Kota Bontang,2.83,2.9,2,1.45,3.76
