id,instansi ,index_2023,domain1,domain2,domain3,domain4
i2023110600288,Pemerintah Provinsi Bali,4.07,4.6,3.7,2.82,4.57
i2023110600289,Pemerintah Kab. Buleleng,3.45,3.3,3.7,1.27,4.14
i2023110600071,Pemerintah Kab. Jembrana,3.14,3.1,2.8,1.64,3.88
i2023110600474,Pemerintah Kab. Klungkung,3.02,2.9,2.9,1.09,3.82
i2023110600290,Pemerintah Kab. Gianyar,3.14,3,3,2.45,3.5
i2023110600291,Pemerintah Kab. Karangasem,2.3,2,2.4,1.55,2.59
i2023110600292,Pemerintah Kab. Bangli,2.48,2.3,2.4,1.64,2.88
i2023110600475,Pemerintah Kab. Badung,3.66,3.6,3.2,2.27,4.43
i2023110600293,Pemerintah Kab. Tabanan,3.77,4.8,3.8,2.45,3.93
i2023110600294,Pemerintah Kota Denpasar,3.8,3.6,3.5,3.45,4.14
i2023110600072,Pemerintah Provinsi NTB,3.4,3.1,2.9,2.36,4.13
i2023110600073,Pemerintah Kab. Lombok Barat,2.77,3,2.1,1,3.7
i2023110600476,Pemerintah Kab. Lombok Tengah,2.69,2.7,1.8,1.27,3.69
i2023110600583,Pemerintah Kab. Lombok Timur,2.46,3.2,1.5,1,3.3
i2023110600584,Pemerintah Kab. Bima,1.88,2.4,1.3,1,2.38
i2023110600295,Pemerintah Kab. Sumbawa,2.75,3.4,2.4,1,3.38
i2023110600477,Pemerintah Kab. Dompu,1.95,3,1,1,2.51
i2023110600074,Pemerintah Kab. Sumbawa Barat,3.13,3,2.4,2.45,3.81
i2023110600478,Pemerintah Kab. Lombok Utara,2.4,2.9,1.3,1,3.37
i2023110600075,Pemerintah Kota Mataram,3.47,3.1,3.2,3,3.89
i2023110600479,Pemerintah Kota Bima,2.41,2.5,1.9,1,3.18
i2023110600296,Pemerintah Provinsi NTT,3.83,4.9,3.4,2.82,4.13
i2023110600480,Pemerintah Kab. Kupang,1.91,1.3,1.4,1,2.69
i2023110600585,Pemerintah Kab. Belu,2.29,3.4,1.4,1,2.93
i2023110600297,Pemerintah Kab. Timor Tengah Utara,2.09,1.5,1.1,1,3.19
i2023110600298,Pemerintah Kab. Timor Tengah Selatan,2.62,2.7,1.7,1,3.69
i2023110600481,Pemerintah Kab. Alor,2.18,1.9,1.3,1,3.18
i2023110600482,Pemerintah Kab. Sikka,1.94,1,1.1,1,3
i2023110600483,Pemerintah Kab. Flores Timur,2.07,1.2,1,1,3.3
i2023110600484,Pemerintah Kab. Ende,1.98,1,1.4,1,2.92
i2023110600586,Pemerintah Kab. Ngada,1.36,1,1.1,1,1.74
i2023110600485,Pemerintah Kab. Manggarai,2.68,3,1.7,1.27,3.63
i2023110600299,Pemerintah Kab. Sumba Timur,2.4,2.9,1.5,1,3.27
i2023110600486,Pemerintah Kab. Sumba Barat,2.55,2.6,1.7,1,3.57
i2023110600587,Pemerintah Kab. Lembata,2.15,2.3,1.2,1,3.05
i2023110600487,Pemerintah Kab. Rote Ndao,2.99,3.4,2.4,2,3.56
i2023110600488,Pemerintah Kab. Manggarai Barat,3.44,5,2.7,2.64,3.7
i2023110600489,Pemerintah Kab. Manggarai Timur,2.62,3.2,1.8,1.18,3.43
i2023110600490,Pemerintah Kab. Sumba Barat Daya,1.68,1,1,1,2.49
i2023110600491,Pemerintah Kab. Nagekeo,1.77,2.6,1.1,1,2.18
i2023110600492,Pemerintah Kab. Sumba Tengah,1.58,1,1,1,2.27
i2023110600300,Pemerintah Kab. Sabu Raijua,2.43,3,1.6,1,3.24
i2023110600493,Pemerintah Kab. Malaka,2.07,2.8,1.1,1,2.79
i2023110600588,Pemerintah Kota Kupang,2.2,3.3,1.8,1,2.55
i2023110600301,Pemerintah Provinsi Maluku,2.23,2.4,1.5,1.09,3
i2023110600589,Pemerintah Kab. Maluku Tengah,1.83,1.3,1.2,1,2.63
i2023110600590,Pemerintah Kab. Maluku Tenggara,1.94,1.7,1,1,2.86
i2023110600591,Pemerintah Kab. Buru,1.39,1,1,1,1.86
i2023110600592,Pemerintah Kab. Kepulauan Tanimbar,2.03,2.5,1.4,1.18,2.54
i2023110600687,Pemerintah Kab. Kepulauan Aru,2.17,1.2,1.5,1,3.24
i2023110600302,Pemerintah Kab. Seram Bagian Barat,1.86,1,1.4,1,2.68
i2023110600593,Pemerintah Kab. Seram Bagian Timur,1.87,1,1,1,2.91
i2023110600594,Pemerintah Kab. Buru Selatan,1.44,1,1,1,1.97
i2023110600494,Pemerintah Kab. Maluku Barat Daya,1.95,1.2,1.2,1,2.93
i2023110600303,Pemerintah Kota Ambon,2.25,3.3,1.4,1,2.86
i2023110600595,Pemerintah Kota Tual,2.13,1,1,1,3.49
i2023110600495,Pemerintah Provinsi Maluku Utara,2.49,3,1.7,1,3.31
i2023110600596,Pemerintah Kab. Halmahera Barat,1.79,1,1.2,1,2.62
i2023110600689,Pemerintah Kab. Halmahera Tengah,1.85,1,1.1,1,2.8
