id,instasi,index_2023,domain1,domain2,domain3,domain4
i2023110600597,Pemerintah Kab. Halmahera Selatan,2.21,2.1,1.4,1,3.12
i2023110600690,Pemerintah Kab. Halmahera Timur,2.34,3,1.7,1,2.99
i2023110600598,Pemerintah Kab. Pulau Morotai,1.01,1.1,1,1,1
i2023110600599,Pemerintah Kab. Pulau Taliabu,2,1.2,1,1,3.14
i2023110600600,Pemerintah Kota Ternate,1.73,1,1,1,2.61
i2023110600497,Pemerintah Kota Tidore Kepulauan,2.26,1.2,1.4,1.18,3.43
i2023110600516,Pemerintah Provinsi Papua,1.91,1.3,1.1,1,2.86
i2023110600517,Pemerintah Kab. Jayapura,2.63,4.3,1.9,1.73,2.88
i2023110600499,Pemerintah Kab. Keerom,1.43,1,1,1,1.94
i2023110600305,Pemerintah Kota Jayapura,2.3,2.8,1.3,1,3.19
i2023110600501,Pemerintah Provinsi Papua Barat,2.28,1.8,1.4,1,3.37
i2023110600311,Pemerintah Kab. Manokwari,1.68,2.8,1.1,1,1.93
i2023110600692,Pemerintah Kab. Teluk Bintuni,1.53,1,1.3,1,1.99
i2023110600511,Pemerintah Kab. Teluk wondama,1.94,1.1,1.3,1,2.87
i2023110600512,Pemerintah Kab. Fak-fak,1.54,1.2,1,1,2.12
i2023110600513,Pemerintah Kab. Kaimana,2.09,1,1.2,1,3.26
i2023110600503,Pemerintah Kab. Manokwari Selatan,1.55,1.5,1,1,2.06
i2023110600603,Pemerintah Kab. Merauke,1.66,1.4,1.1,1,2.29
i2023110600607,Pemerintah Kab. Boven Digoel,1.8,1.9,1.6,1,2.17
i2023110600608,Pemerintah Kab. Mappi,1.73,1,1,1,2.6
i2023110600606,Pemerintah Kab. Mimika,2,2.8,1.1,1,2.63
i2023110600304,Pemerintah Kab. Jayawijaya,1.51,1,1.1,1,2.06
i2023110600612,Pemerintah Kab. Mamberamo Tengah,1.48,1,1,1,2.05
i2023110600502,Pemerintah Kab. Sorong,2.25,3,1.2,1,3.07
i2023110600515,Pemerintah Kab. Maybrat,1.17,1,1,1,1.36
i2023110600504,Pemerintah Kota Sorong,1.78,1.2,1.2,1,2.55
