id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600249,Pemerintah Provinsi Kalimantan Barat,2.65,2.41,3.23
i2023110600426,Pemerintah Kab. Bengkayang,1.75,1.56,1.56
i2023110600061,Pemerintah Kab. Kapuas Hulu,1.93,2.6,2.6
i2023110600429,Pemerintah Kab. Kayong Utara,1.48,1.89,1.89
i2023110600425,Pemerintah Kab. Ketapang,1.50,1.73,1.73
i2023110600428,Pemerintah Kab. Kubu Raya,1.82,2.56,2.77
i2023110600062,Pemerintah Kab. Landak,1.15,2.1,2.1
i2023110600549,Pemerintah Kab. Melawi,1.15,1.15,1.15
i2023110600424,Pemerintah Kab. Mempawah,1.46,1.33,1.33
i2023110600422,Pemerintah Kab. Sambas,1.64,1.58,1.58
i2023110600250,Pemerintah Kab. Sanggau,1.54,2.36,2.03
i2023110600427,Pemerintah Kab. Sekadau,1.40,1.4,1.4
i2023110600423,Pemerintah Kab. Sintang,1.56,1.56,1.56
i2023110600251,Pemerintah Kota Pontianak,2.33,3.06,3.06
i2023110600252,Pemerintah Kota Singkawang,1.74,1.9,1.9
i2023110600430,Pemerintah Provinsi Kalimantan Tengah,2.76,1.49,1.49
i2023110600253,Pemerintah Kab. Barito Selatan,2.65,2.65,2.65
i2023110600434,Pemerintah Kab. Barito Timur,1.58,1.58,1.58
i2023110600431,Pemerintah Kab. Barito Utara,1.81,1.63,1.63
i2023110600551,Pemerintah Kab. Gunung Mas,2.29,2.29,2.29
i2023110600550,Pemerintah Kab. Kapuas,2.17,2.17,2.17
i2023110600065,Pemerintah Kab. Katingan,1.85,1.9,1.9
i2023110600063,Pemerintah Kab. Kotawaringin Barat,2.47,2.37,2.85
i2023110600432,Pemerintah Kab. Kotawaringin Timur,1.83,1.95,1.95
i2023110600064,Pemerintah Kab. Lamandau,1.58,2.41,2.41
i2023110600552,Pemerintah Kab. Murung Raya,1.50,1.5,1.5
i2023110600254,Pemerintah Kab. Pulang Pisau,2.10,1.96,1.96
i2023110600553,Pemerintah Kab. Seruyan,1.74,1.63,1.63
i2023110600433,Pemerintah Kab. Sukamara,1.83,1.67,1.67
i2023110600255,Pemerintah Kota Palangka Raya,1.74,1.75,1.75
i2023110600066,Pemerintah Provinsi Kalimantan Timur,2.49,3.04,3.04
i2023110600556,Pemerintah Kab. Berau,1.30,1.29,1.29
i2023110600443,Pemerintah Kab. Kutai Barat,1.21,1.2,1.2
i2023110600441,Pemerintah Kab. Kutai Kartanegara,1.82,2.21,2.97
i2023110600444,Pemerintah Kab. Kutai Timur,1.00,1,1
i2023110600262,Pemerintah Kab. Mahakam Ulu,1.40,1.4,1.4
i2023110600442,Pemerintah Kab. Paser,1.85,1.69,1.69
i2023110600445,Pemerintah Kab. Penajam Paser Utara,1.20,1.56,1.56
i2023110600264,Pemerintah Kota Balikpapan,2.77,3.17,3.17
i2023110600446,Pemerintah Kota Bontang,2.72,2.64,3.28
i2023110600263,Pemerintah Kota Samarinda,2.64,2.79,3.28
i2023110600256,Pemerintah Provinsi Kalimantan Selatan,3.05,3.03,3.03
i2023110600260,Pemerintah Kab. Balangan,1.98,1.82,1.82
i2023110600435,Pemerintah Kab. Banjar,1.94,2.4,2.68
i2023110600437,Pemerintah Kab. Barito Kuala,1.99,1.94,1.94
i2023110600554,Pemerintah Kab. Hulu Sungai Selatan,2.02,2.49,2.49
i2023110600436,Pemerintah Kab. Hulu Sungai Tengah,1.95,2.84,2.84
i2023110600555,Pemerintah Kab. Hulu Sungai Utara,1.46,1.88,1.88
i2023110600259,Pemerintah Kab. Kotabaru,1.86,1.89,1.89
i2023110600438,Pemerintah Kab. Tabalong,1.92,2.3,2.29
i2023110600439,Pemerintah Kab. Tanah Bumbu,1.73,2.37,3
i2023110600257,Pemerintah Kab. Tanah Laut,1.42,2.76,3.21
i2023110600258,Pemerintah Kab. Tapin,2.07,2.31,2.16
i2023110600440,Pemerintah Kota Banjarbaru,1.88,2.77,2.62
i2023110600261,Pemerintah Kota Banjarmasin,1.93,3.01,3.01
i2023110600312,Pemerintah Provinsi Kalimantan Utara,1.55,1.78,1.78
i2023110600077,Pemerintah Kab. Bulungan,1.57,1.57,1.57
i2023110600622,Pemerintah Kab. Tana Tidung,1.15,1.93,1.93
i2023110600508,Pemerintah Kota Tarakan,1.32,1.32,1.32
i2023110600288,Pemerintah Provinsi Bali,1.62,1.62,1.62
i2023110600475,Pemerintah Kab. Badung,2.56,2.88,2.88
i2023110600292,Pemerintah Kab. Bangli,2.33,2.17,2.17
i2023110600289,Pemerintah Kab. Buleleng,2.99,3.7,3.7
i2023110600290,Pemerintah Kab. Gianyar,1.76,2.51,3.17
i2023110600071,Pemerintah Kab. Jembrana,2.77,2.65,2.66
i2023110600291,Pemerintah Kab. Karangasem,1.74,2.05,2.05
i2023110600474,Pemerintah Kab. Klungkung,2.10,2.78,3.1
i2023110600293,Pemerintah Kab. Tabanan,1.23,2.82,2.82
i2023110600294,Pemerintah Kota Denpasar,2.64,3.33,3.33
i2023110600072,Pemerintah Provinsi NTB,2.95,2.77,2.77
i2023110600477,Pemerintah Kab. Dompu,1.45,1.82,1.82
i2023110600073,Pemerintah Kab. Lombok Barat,2.55,2.45,2.45
i2023110600476,Pemerintah Kab. Lombok Tengah,2.15,2.15,2.15
i2023110600583,Pemerintah Kab. Lombok Timur,1.36,1.36,1.36
i2023110600478,Pemerintah Kab. Lombok Utara,1.33,1.39,1.39
i2023110600295,Pemerintah Kab. Sumbawa,1.80,2.36,2.36
i2023110600074,Pemerintah Kab. Sumbawa Barat,1.99,2.23,2.23
i2023110600075,Pemerintah Kota Mataram,2.71,2.51,2.51
i2023110600296,Pemerintah Provinsi NTT,1.26,2.23,3.26
i2023110600481,Pemerintah Kab. Alor,1.89,1.89,1.89
i2023110600585,Pemerintah Kab. Belu,1.46,1.56,1.56
i2023110600484,Pemerintah Kab. Ende,1.81,1.81,1.81
i2023110600483,Pemerintah Kab. Flores Timur,1.04,1.04,1.04
i2023110600480,Pemerintah Kab. Kupang,1.23,1.23,1.23
i2023110600493,Pemerintah Kab. Malaka,1.18,1.18,1.18
i2023110600485,Pemerintah Kab. Manggarai,1.82,1.91,1.91
i2023110600488,Pemerintah Kab. Manggarai Barat,1.72,2.15,2.15
i2023110600489,Pemerintah Kab. Manggarai Timur,1.72,1.53,1.53
i2023110600491,Pemerintah Kab. Nagekeo,1.76,2,2
i2023110600586,Pemerintah Kab. Ngada,1.27,1.27,1.27
i2023110600487,Pemerintah Kab. Rote Ndao,1.33,1.33,1.33
i2023110600300,Pemerintah Kab. Sabu Raijua,1.00,1,1
i2023110600482,Pemerintah Kab. Sikka,1.30,1.3,1.3
i2023110600486,Pemerintah Kab. Sumba Barat,1.53,2,2
i2023110600490,Pemerintah Kab. Sumba Barat Daya,1.11,1.55,1.55
i2023110600492,Pemerintah Kab. Sumba Tengah,1.30,1.3,1.3
i2023110600299,Pemerintah Kab. Sumba Timur,1.16,1.16,1.16
i2023110600298,Pemerintah Kab. Timor Tengah Selatan,1.53,1.27,1.27
i2023110600297,Pemerintah Kab. Timor Tengah Utara,1.40,1.4,1.4
i2023110600588,Pemerintah Kota Kupang,1.64,1.47,1.47
i2023110600447,Pemerintah Provinsi Sulawesi Utara,,1.78,1.78
i2023110600067,Pemerintah Kab. Bolaang Mongondow,,2.14,2.14
i2023110600267,Pemerintah Kab. Bolaang Mongondow Selatan,,1.32,1.32
i2023110600559,Pemerintah Kab. Bolaang Mongondow Timur,,1.46,1.46
i2023110600068,Pemerintah Kab. Bolaang Mongondow Utara,,1.3,1.3
i2023110600449,Pemerintah Kab. Kepulauan Sangihe,,2.11,2.11
i2023110600557,Pemerintah Kab. Minahasa Selatan,,1.25,1.25
i2023110600266,Pemerintah Kab. Minahasa Tenggara,,2.58,2.58
i2023110600450,Pemerintah Kab. Minahasa Utara,,1.18,1.18
i2023110600558,Pemerintah Kab. Siau Tagulandang Biaro,,1.4,1.4
i2023110600269,Pemerintah Kota Bitung,,1.68,1.68
i2023110600270,Pemerintah Kota KotaMobagu,,1.15,1.15
i2023110600268,Pemerintah Kota Manado,,2.41,2.64
i2023110600451,Pemerintah Kota Tomohon,,1.65,1.65
i2023110600452,Pemerintah Provinsi Gorontalo,1.48,3.18,3.18
i2023110600272,Pemerintah Kab. Bone Bolango,1.87,2.42,2.3
