id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600107,Badan Pengkajian dan Penerapan Teknologi,3.31,3.83,3.83
i2023110600101,Badan Pusat Statistik,3.33,3.63,3.63
i2023110600100,Badan Tenaga Nuklir Nasional,3.25,2.9,2.9
i2023110600012,Badan Siber dan Sandi Negara,2.01,3.99,3.99
i2023110600015,Badan Standardisasi Nasional,2.27,3.25,3.25
i2023110600099,Lembaga Administrasi Negara,3.2,3.05,3.05
i2023110600320,Lembaga Ilmu Pengetahuan Indonesia,3.7,3.55,3.55
i2023110600120,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,3.14,3.55,2.95
i2023110600111,Lembaga Ketahanan Nasional RI,2.46,2.33,2.78
i2023110600013,Lembaga Penerbangan dan Antariksa Nasional,2.83,2.65,3.85
i2023110600321,Perpustakaan Nasional RI,3.19,3.06,3.06
i2023110600094,Badan Intelijen Negara,3.11,3.31,3.31
i2023110600128,Markas Besar Kepolisian Republik Indonesia,3.26,3.33,3.33
i2023110600628,Kepolisian Daerah Aceh,1.47,1.29,
i2023110600629,Kepolisian Daerah Bengkulu,1.17,1.82,
i2023110600630,Kepolisian Daerah Jambi,2.52,2.32,
i2023110600631,Kepolisian Daerah Kepulauan Bangka Belitung,1.62,2.36,
i2023110600632,Kepolisian Daerah Kepulauan Riau,1.74,2.64,
i2023110600633,Kepolisian Daerah Lampung,2.22,2.18,
i2023110600634,Kepolisian Daerah Riau,1.92,2.66,
i2023110600635,Kepolisian Daerah Sumatera Barat,2.27,2.2,
i2023110600636,Kepolisian Daerah Sumatera Selatan,2.36,2.73,
i2023110600637,Kepolisian Daerah Sumatera Utara,2.3,2.34,
i2023110600638,Kepolisian Daerah Banten,1.42,2.82,
i2023110600639,Kepolisian Daerah Metro Jaya,2.9,2.83,
i2023110600640,Kepolisian Daerah Jawa Barat,3.18,2.95,
i2023110600641,Kepolisian Daerah Jawa Tengah,1.84,2.19,
i2023110600642,Kepolisian Daerah Jawa Timur,2.93,3.17,
i2023110600643,Kepolisian Daerah Istimewa Yogyakarta,2.53,2.35,
i2023110600644,Kepolisian Daerah Kalimantan Barat,1.95,1.84,
i2023110600645,Kepolisian Daerah Kalimantan Selatan,1.86,1.81,
i2023110600646,Kepolisian Daerah Kalimantan Tengah,2.41,2.26,
i2023110600647,Kepolisian Daerah Kalimantan Timur,2.22,2.94,
i2023110600648,Kepolisian Daerah Kalimantan Utara,1.35,2.45,
i2023110600649,Kepolisian Daerah Bali,2.43,3.12,
i2023110600650,Kepolisian Daerah Nusa Tenggara Barat,2.1,2.45,
i2023110600651,Kepolisian Daerah Nusa Tenggara Timur,2.13,1.98,
i2023110600652,Kepolisian Daerah Gorontalo,1.57,1.45,
i2023110600653,Kepolisian Daerah Sulawesi Barat,1.55,2.13,
i2023110600654,Kepolisian Daerah Sulawesi Selatan,1.76,2.31,
i2023110600655,Kepolisian Daerah Sulawesi Tengah,1.92,2.47,
i2023110600656,Kepolisian Daerah Sulawesi Tenggara,1.79,1.77,
i2023110600657,Kepolisian Daerah Sulawesi Utara,1.88,2.59,
i2023110600658,Kepolisian Daerah Maluku,1.56,2.17,
i2023110600659,Kepolisian Daerah Maluku Utara,1.55,1.84,
i2023110600660,Kepolisian Daerah Papua Barat,1.2,1.96,
i2023110600661,Kepolisian Daerah Papua,1.49,1.33,
i2023110600323,Sekretariat Kabinet,2.21,2.63,
i2023110600662,Sekretariat Jenderal Majelis Permusyawaratan Rakyat,1.86,2.95,
i2023110600663,Sekretariat Jenderal Dewan Perwakilan Rakyat,1.6,2.49,
