"i2023110600001","Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan","gi2023110400001"
"i2023110600002","Kementerian Koperasi dan Usaha Kecil dan Menengah","gi2023110400001"
"i2023110600003","Kementerian Pemberdayaan Perempuan dan Perlindungan Anak","gi2023110400001"
"i2023110600004","Kementerian Dalam Negeri","gi2023110400001"
"i2023110600005","Kementerian Luar Negeri","gi2023110400001"
"i2023110600006","Kementerian Hukum dan Hak Asasi Manusia","gi2023110400001"
"i2023110600007","Kementerian Pertanian","gi2023110400001"
"i2023110600008","Kementerian Energi dan Sumber Daya Mineral","gi2023110400001"
"i2023110600009","Kementerian Perhubungan","gi2023110400001"
"i2023110600010","Kementerian Ketenagakerjaan","gi2023110400001"
"i2023110600011","Kementerian Perdagangan","gi2023110400001"
"i2023110600012","Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional","gi2023110400001"
"i2023110600013","Kementerian Koordinator Bidang Perekonomian","gi2023110400001"
"i2023110600014","Kementerian Koordinator Bidang Kemaritiman","gi2023110400001"
"i2023110600015","Kementerian Badan Usaha Milik Negara","gi2023110400001"
"i2023110600016","Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi","gi2023110400001"
"i2023110600017","Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","gi2023110400001"
"i2023110600018","Kementerian Keuangan","gi2023110400001"
"i2023110600019","Kementerian Pendidikan dan Kebudayaan","gi2023110400001"
"i2023110600020","Kementerian Kesehatan","gi2023110400001"
"i2023110600021","Kementerian Agama","gi2023110400001"
"i2023110600022","Kementerian Sosial","gi2023110400001"
"i2023110600023","Kementerian Lingkungan Hidup dan Kehutanan","gi2023110400001"
"i2023110600024","Kementerian Kelautan dan Perikanan","gi2023110400001"
"i2023110600025","Kementerian Komunikasi dan Informatika","gi2023110400001"
"i2023110600026","Kementerian Pekerjaan Umum & Perumahan Rakyat","gi2023110400001"
"i2023110600027","Kementerian Pariwisata dan Ekonomi Kreatif/Badan Pariwisata dan Ekonomi Kreatif","gi2023110400001"
"i2023110600028","Kementerian Sekretariat Negara","gi2023110400001"
"i2023110600029","Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional","gi2023110400001"
"i2023110600030","Kementerian Investasi/Badan Koordinasi Penanaman Modal","gi2023110400001"
"i2023110600031","Kementerian Koordinator Bidang Politik, Hukum dan Keamanan","gi2023110400001"
"i2023110600032","Kementerian Pemuda dan Olahraga","gi2023110400001"
"i2023110600033","Kementerian Pertahanan","gi2023110400001"
"i2023110600034","Kementerian Perindustrian","gi2023110400001"
"i2023110600035","Badan Pembinaan Ideologi Pancasila","gi2023110400002"
"i2023110600036","Badan Intelijen Negara","gi2023110400002"
"i2023110600037","Majelis Permusyawaratan Rakyat","gi2023110400002"
"i2023110600038","Dewan Perwakilan Rakyat","gi2023110400002"
"i2023110600039","Komisi Yudisial","gi2023110400002"
"i2023110600040","Dewan Perwakilan Daerah","gi2023110400002"
"i2023110600041","Radio Republik Indonesia","gi2023110400002"
"i2023110600042","Markas Besar Kepolisian Republik Indonesia","gi2023110400002"
"i2023110600043","Kejaksaan Agung","gi2023110400002"
"i2023110600044","Mahkamah Agung RI","gi2023110400002"
"i2023110600045","Badan Pemeriksa Keuangan","gi2023110400002"
"i2023110600046","Sekretariat Kabinet","gi2023110400002"
"i2023110600047","Mahkamah Konstitusi","gi2023110400002"
"i2023110600048","Televisi Republik Indonesia","gi2023110400002"
"i2023110600049","Dewan Ketahanan Nasional","gi2023110400003"
"i2023110600050","Komisi Pemilihan Umum","gi2023110400003"
"i2023110600051","Komisi Pemberantasan Korupsi","gi2023110400003"
"i2023110600052","Pusat Pelaporan dan Analisis Transaksi Keuangan","gi2023110400003"
"i2023110600053","Ombudsman Republik Indonesia","gi2023110400003"
"i2023110600054","Badan Nasional Pengelola Perbatasan","gi2023110400003"
"i2023110600055","Komisi Aparatur Sipil Negara","gi2023110400003"
"i2023110600056","Badan Amil Zakat Nasional","gi2023110400003"
"i2023110600057","Komisi Pengawas Persaingan Usaha","gi2023110400003"
"i2023110600058","Badan Pengawas Pemilihan Umum","gi2023110400003"
