"i2023110600093","Pemerintah Kab. Aceh Besar","gi2023110400005"
"i2023110600094","Pemerintah Kab. Pidie","gi2023110400005"
"i2023110600095","Pemerintah Kab. Aceh Utara","gi2023110400005"
"i2023110600096","Pemerintah Kab. Aceh Timur","gi2023110400005"
"i2023110600097","Pemerintah Kab. Aceh Selatan","gi2023110400005"
"i2023110600098","Pemerintah Kab. Aceh Barat","gi2023110400005"
"i2023110600099","Pemerintah Kab. Aceh Tengah","gi2023110400005"
"i2023110600100","Pemerintah Kab. Aceh Tenggara","gi2023110400005"
"i2023110600101","Pemerintah Kab. Bireuen","gi2023110400005"
"i2023110600102","Pemerintah Kab. Aceh Barat Daya","gi2023110400005"
"i2023110600103","Pemerintah Kab. Gayo Lues","gi2023110400005"
"i2023110600104","Pemerintah Kab. Aceh Tamiang","gi2023110400005"
"i2023110600105","Pemerintah Kab. Nagan Raya","gi2023110400005"
"i2023110600106","Pemerintah Kab. Aceh Jaya","gi2023110400005"
"i2023110600107","Pemerintah Kab. Bener Meriah","gi2023110400005"
"i2023110600108","Pemerintah Kab. Pidie Jaya","gi2023110400005"
"i2023110600109","Pemerintah Kab. Buleleng","gi2023110400006"
"i2023110600110","Pemerintah Kab. Jembrana","gi2023110400006"
"i2023110600111","Pemerintah Kab. Karangasem","gi2023110400006"
"i2023110600112","Pemerintah Kab. Bangli","gi2023110400006"
"i2023110600113","Pemerintah Kab. Badung","gi2023110400006"
"i2023110600114","Pemerintah Kab. Tabanan","gi2023110400006"
"i2023110600115","Pemerintah Kab. Serang","gi2023110400007"
"i2023110600116","Pemerintah Kab. Pandeglang","gi2023110400007"
"i2023110600117","Pemerintah Kab. Lebak","gi2023110400007"
"i2023110600118","Pemerintah Kab. Tangerang","gi2023110400007"
"i2023110600119","Pemerintah Kab. Bengkulu Utara","gi2023110400008"
"i2023110600120","Pemerintah Kab. Bengkulu Selatan","gi2023110400008"
"i2023110600121","Pemerintah Kab. Rejang Lebong","gi2023110400008"
"i2023110600122","Pemerintah Kab. Kaur","gi2023110400008"
"i2023110600123","Pemerintah Kab. Seluma","gi2023110400008"
"i2023110600124","Pemerintah Kab. Mukomuko","gi2023110400008"
"i2023110600125","Pemerintah Kab. Kepahiang","gi2023110400008"
"i2023110600126","Pemerintah Kab. Lebong","gi2023110400008"
